date,year,month,decade,coal_ppi_nominal,coal_index_2024base,mom_pct,yoy_pct,rolling_vol_12m,shock,direction,event
1946-01-01,1946,1,1940,10.1,3.480848155179197,,,,False,flat,postwar_reconversion
1946-02-01,1946,2,1940,10.1,3.480848155179197,0.0,,,False,flat,postwar_reconversion
1946-03-01,1946,3,1940,10.1,3.480848155179197,0.0,,,False,flat,postwar_reconversion
1946-04-01,1946,4,1940,10.1,3.480848155179197,0.0,,,False,flat,postwar_reconversion
1946-05-01,1946,5,1940,10.1,3.480848155179197,0.0,,,False,flat,postwar_reconversion
1946-06-01,1946,6,1940,10.6,3.6531673707821275,4.950495049504955,,,True,up,postwar_reconversion
1946-07-01,1946,7,1940,11.0,3.7910227432644725,3.7735849056603765,,,True,up,postwar_reconversion
1946-08-01,1946,8,1940,11.1,3.825486586385058,0.9090909090909038,,,False,up,postwar_reconversion
1946-09-01,1946,9,1940,11.1,3.825486586385058,0.0,,,False,flat,postwar_reconversion
1946-10-01,1946,10,1940,11.1,3.825486586385058,0.0,,,False,flat,postwar_reconversion
1946-11-01,1946,11,1940,11.1,3.825486586385058,0.0,,,False,flat,postwar_reconversion
1946-12-01,1946,12,1940,11.2,3.8599504295056444,0.9009009009008917,,,False,up,postwar_reconversion
1947-01-01,1947,1,1940,11.5,3.963341958867403,2.6785714285714413,13.861386138613874,1.7323743438763395,False,up,postwar_reconversion
1947-02-01,1947,2,1940,11.5,3.963341958867403,0.0,13.861386138613874,1.7323743438763395,False,flat,postwar_reconversion
1947-03-01,1947,3,1940,11.5,3.963341958867403,0.0,13.861386138613874,1.7323743438763395,False,flat,postwar_reconversion
1947-04-01,1947,4,1940,11.6,3.9978058019879885,0.8695652173912993,14.851485148514843,1.7000156526117571,False,up,postwar_reconversion
1947-05-01,1947,5,1940,11.6,3.9978058019879885,0.0,14.851485148514843,1.7000156526117571,False,flat,postwar_reconversion
1947-06-01,1947,6,1940,11.6,3.9978058019879885,0.0,9.433962264150942,1.2380293937065294,False,flat,postwar_reconversion
1947-07-01,1947,7,1940,13.5,4.652618821279125,16.37931034482758,22.72727272727273,4.6561241280137375,True,up,postwar_reconversion
1947-08-01,1947,8,1940,14.3,4.928329566243814,5.9259259259259345,28.828828828828847,4.791011019619157,True,up,postwar_reconversion
1947-09-01,1947,9,1940,14.4,4.9627934093644,0.6993006993006867,29.729729729729737,4.7656126996967085,False,up,postwar_reconversion
1947-10-01,1947,10,1940,14.5,4.997257252484986,0.694444444444442,30.630630630630627,4.739450262686447,False,up,postwar_reconversion
1947-11-01,1947,11,1940,14.5,4.997257252484986,0.0,30.630630630630627,4.739450262686447,False,flat,postwar_reconversion
1947-12-01,1947,12,1940,14.6,5.0317210956055725,0.6896551724137945,30.35714285714286,4.745692636545666,False,up,postwar_reconversion
1948-01-01,1948,1,1940,14.7,5.066184938726158,0.6849315068493178,27.826086956521735,4.7671546554559265,False,up,postwar_reconversion
1948-02-01,1948,2,1940,14.7,5.066184938726158,0.0,27.826086956521735,4.7671546554559265,False,flat,postwar_reconversion
1948-03-01,1948,3,1940,14.7,5.066184938726158,0.0,27.826086956521735,4.7671546554559265,False,flat,postwar_reconversion
1948-04-01,1948,4,1940,14.8,5.100648781846745,0.6802721088435382,27.586206896551737,4.77213040992275,False,up,postwar_reconversion
